2.063,1.682,3.185,1.766
2.0604,1.682,3.1875,1.7609
2.063,1.6846,3.1875,1.766
2.0655,1.6769,3.1875,1.7736
2.0706,1.6846,3.1799,1.766
2.0655,1.6922,3.185,1.7609
2.063,1.6846,3.185,1.766
2.0579,1.6795,3.1926,1.7736
2.0655,1.6769,3.185,1.7711
2.0706,1.6846,3.1799,1.7685
2.063,1.6897,3.185,1.7634
2.0579,1.6795,3.1926,1.7711
2.063,1.6769,3.1824,1.7736
2.0604,1.6846,3.185,1.7685
2.063,1.6871,3.1875,1.7685
2.0604,1.6846,3.185,1.766
2.0655,1.6769,3.1901,1.7711
2.0706,1.6897,3.1799,1.7634
2.0579,1.6897,3.1901,1.7609
2.0553,1.6795,3.1901,1.7762
2.0604,1.6795,3.1773,1.7736
2.0706,1.6897,3.1824,1.7609
2.0553,1.6922,3.1926,1.7634
2.0604,1.6795,3.1901,1.7711
2.0706,1.6846,3.1773,1.7685
2.063,1.6922,3.185,1.7609
2.0579,1.6846,3.1901,1.766
2.063,1.6769,3.185,1.7736
2.0681,1.6846,3.1799,1.7609
2.0655,1.6897,3.185,1.7609
2.0579,1.682,3.1926,1.766
2.063,1.6846,3.185,1.7711
2.0604,1.6769,3.1875,1.766
2.0681,1.682,3.185,1.766
2.063,1.6897,3.185,1.766
2.063,1.6846,3.185,1.766
2.063,1.6846,3.185,1.766
2.0655,1.6846,3.185,1.7685
2.063,1.6846,3.185,1.7634
2.063,1.682,3.185,1.7685
2.0604,1.682,3.185,1.766
2.063,1.682,3.1875,1.7609
2.0579,1.6846,3.1901,1.7634
2.0655,1.6769,3.185,1.7736
2.0681,1.682,3.1773,1.766
2.0553,1.6922,3.185,1.7609
2.0553,1.6795,3.1901,1.7711
2.0706,1.6795,3.1799,1.7736
2.0681,1.6897,3.1799,1.7609
2.0579,1.6897,3.1901,1.7685
2.063,1.6769,3.185,1.7711
2.0681,1.6846,3.1799,1.7634
2.063,1.6897,3.185,1.7609
2.0579,1.682,3.1901,1.766
2.0579,1.6769,3.1926,1.7736
2.0706,1.6769,3.1799,1.7685
2.0681,1.6897,3.1824,1.7609
2.0579,1.6897,3.1901,1.766
